ZIP Code,Year,Month,SalesCount,AvgSalesPrice
19129,2020,4,2,0
19129,2020,3,3,10000
19129,2020,2,1,0
19129,2020,1,14,280000
19129,2019,12,21,270000
19129,2019,11,22,252000
19129,2019,10,16,282000
19129,2019,9,12,275000
19129,2019,8,17,275000
19129,2019,7,23,291000
19129,2019,6,10,298000
19129,2019,5,8,267000
19129,2019,4,12,323000
19129,2019,3,6,166000
19129,2019,2,13,202000
19129,2019,1,9,200000
19129,2018,12,10,268000
19129,2018,11,20,293000
19129,2018,10,17,228000
19129,2018,9,6,215000
19129,2018,8,24,268000
19129,2018,7,20,240000
19129,2018,6,17,218000
19129,2018,5,7,251000
19129,2018,4,6,260000
19129,2018,3,19,283000
19129,2018,2,6,203000
19129,2018,1,12,311000
19129,2017,12,14,244000
19129,2017,11,8,258000
19129,2017,10,10,231000
19129,2017,9,30,288000
19129,2017,8,22,265000
19129,2017,7,7,271000
19129,2017,6,43,258000
19129,2017,5,17,198000
19129,2017,4,9,283000